parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_value,Scenario,Batch
r0,1.033376801038805,0.008167178543363345,0.11197704827537767,0.8502407611344234,0.9531462197510346,1.0243742338064048,1.1078498603920173,1.240496817745454,187.9809892994495,1.023436499868108,1,1,1
ba1,-0.05040269850259598,1.2984779642245158e-4,0.0017542566045522811,-0.05360926554130389,-0.05164028109948107,-0.05037587381407634,-0.049178687468494506,-0.047154357150836275,182.52277914187073,1.0247494928459675,-0.05,1,1
r0,1.1978592006598776,0.013194355179420084,0.1410447504845822,0.9509532404412967,1.0968500575545108,1.190775724513896,1.2953531297744993,1.4765702914064913,114.27139057415543,1.035528194410644,1,1,2
ba1,-0.052603511671412626,1.6461107186093818e-4,0.0018848156561219207,-0.056088795749269185,-0.05397078877196767,-0.05261312859591222,-0.05132068672117555,-0.049047151108903786,131.10512698040898,1.0366020047034228,-0.05,1,2
r0,1.1991574616803047,0.011380158159639303,0.140379179843275,0.9600785637849075,1.1044670628073292,1.18821092383563,1.2952122875631082,1.4967021876197388,152.1629101930043,1.0036039102105152,1,1,3
ba1,-0.05265281916840727,1.5849034347356476e-4,0.0019271400699522794,-0.05627509005424636,-0.0539791151429731,-0.05271288839523269,-0.05147160699492977,-0.04910054638275223,147.84987098927778,1.0052774826906135,-0.05,1,3
r0,0.9886944320359591,0.009536797737516202,0.12348540519713631,0.7756576544664898,0.9047289468088264,0.9883425467643461,1.0645787453563893,1.2537872351387989,167.6587092757838,1.0173768805356718,1,1,4
ba1,-0.05054579013843836,1.5809991812203736e-4,0.0020622994552251237,-0.05466501165021114,-0.051953334883656554,-0.050634072826308024,-0.049150836074821076,-0.04683173745270211,170.1532168350947,1.018417125341701,-0.05,1,4
r0,0.8485942937539547,0.007729786603772374,0.09571354146136124,0.6807361723996014,0.778479419757262,0.8473649064269062,0.9017515246724757,1.0552957740759028,153.32457246529282,1.0134312710630744,1,1,5
ba1,-0.04606244835046919,1.49595548111894e-4,0.0018490089097430433,-0.04979862053045158,-0.047241981820249676,-0.046124342015693306,-0.04480199179256632,-0.04251746796058582,152.770911239551,1.010385308116601,-0.05,1,5
r0,0.9557152297256994,0.008438925425249854,0.10396758221548988,0.7759677373027788,0.8768267193039,0.957223003563655,1.0269452057639834,1.153084477270025,151.78246124699646,1.0251729408387047,1,2,1
ba1,-0.023594201082007004,1.4644646132238286e-4,0.0018081035766293924,-0.026900810668015338,-0.024855616555934712,-0.023687385293344368,-0.022245477049050555,-0.02019450450333877,152.43645713072686,1.0297151892592975,-0.025,2,1
r0,0.9138056858063287,0.007519150921837134,0.10362536648122482,0.7376620166957896,0.8396829969973296,0.9093308224154151,0.9832512617566188,1.1252695297019844,189.93043159378405,1.0111316772241612,1,2,2
ba1,-0.023561774156842737,1.3183416531316891e-4,0.0018453653311378943,-0.027052420952853477,-0.024871059325913738,-0.023591029615110788,-0.02231144541429933,-0.02024193333807697,195.93353173786997,1.009649020540236,-0.025,2,2
r0,0.9757752292397714,0.01113980048830722,0.12480640073195254,0.74490769426025,0.8987570184215151,0.966841532983015,1.044896204668703,1.2394391957788389,125.52172301807924,1.0383775687388122,1,2,3
ba1,-0.02469582459112078,1.9030916202456225e-4,0.0021061855508657788,-0.02877918361769815,-0.026037592669266574,-0.024713159264191993,-0.023362417562334908,-0.020434256957823537,122.48244978517661,1.0437841356157578,-0.025,2,3
r0,1.0830066846095745,0.011851040765055061,0.12439929903573362,0.8294009028161341,1.0051243398837064,1.0741072580033542,1.1600016899497245,1.3242802026411753,110.18510310636901,1.0478433302648436,1,2,4
ba1,-0.0261028022736259,1.8608402179808416e-4,0.00190985586314451,-0.029681680149351377,-0.02739138930532069,-0.026100913720033946,-0.02493455504167504,-0.02197312119636255,105.33750242497767,1.0456922864450826,-0.025,2,4
r0,0.8313425463515388,0.007918083800620885,0.09373185012307435,0.6646657040620594,0.7650163270488806,0.8247761903084926,0.8892662090175123,1.018202804640424,140.1309903421691,1.0239401892114153,1,2,5
ba1,-0.021989765245444486,1.5559876241596118e-4,0.0018770645821040049,-0.02560869834227534,-0.023220673170249846,-0.021939604221540274,-0.02074443184575177,-0.018293606392513834,145.52786349911258,1.0221022729098999,-0.025,2,5
r0,0.9374190558087365,0.008007899057867713,0.11104252446986286,0.7255812354296688,0.860917447378526,0.9333027400713596,1.0031183786563536,1.1645788587689765,192.2832584022226,1.003581429609062,1,3,1
ba1,0.0013876011967422371,1.4315609165301138e-4,0.001979008515141838,-0.0022950484706424656,1.0942238932344016e-4,0.0013077477424313817,0.0026563750907461336,0.005397550428659287,191.10658838031088,1.0025883622361225,0,3,1
r0,1.1262185381195864,0.00975018433834813,0.1292417832909156,0.8976649886916588,1.031130319024141,1.1178929852112767,1.209820552184147,1.4320522088881142,175.70342626270082,1.021025994724234,1,3,2
ba1,-0.0015622545485878719,1.4205838904101653e-4,0.0018729647334958363,-0.005448289597544389,-0.002783382216361902,-0.001524325413026713,-2.534248180422103e-4,0.001956243625621479,173.83027979643526,1.023116889286136,0,3,2
r0,1.102505496492063,0.012349576888807874,0.139025618741902,0.8515755595867862,1.0068486902800795,1.092527125728563,1.1919201173123548,1.4170101457410107,126.73177464437941,1.025143321343036,1,3,3
ba1,-0.0013792833964798449,1.7712070737855017e-4,0.0020658159732600333,-0.0055528421078362275,-0.002809346291018236,-0.0014063621591159743,2.6956676962146385e-5,0.0026336827566439827,136.033097227683,1.0220137068717692,0,3,3
r0,1.0996740150270496,0.008432029150830384,0.10607169323843135,0.9010369412713786,1.0209392394584147,1.1028881575628464,1.1757352370685707,1.304563939528335,158.24675189625205,1.0084131787543722,1,3,4
ba1,-9.814402513936289e-4,1.245238000509665e-4,0.0016174763094150711,-0.0039022954759943855,-0.0021534449308854686,-0.0010889562064902063,2.1136033554339378e-4,0.0021250988579977876,168.7217712518086,1.007915440626575,0,3,4
r0,1.0259255159864538,0.008273417601640454,0.11288233665821536,0.8314134958472468,0.9432648462826221,1.0156116725491078,1.1005901844896573,1.2667931707337206,186.15816507389636,1.0243527700291397,1,3,5
ba1,2.1625840368111115e-4,1.276713173769788e-4,0.0017753095233125464,-0.0035611977596962056,-9.595950988708676e-4,2.963847648554184e-4,0.0014615911394350398,0.003329620894023886,193.35770655179627,1.0246170871837417,0,3,5
r0,2.7712224637168434,0.027245461782249254,0.3333553108343887,2.1866635750105137,2.535897055486734,2.733342615999835,2.9911535586904314,3.444157059142037,149.70158916135506,1.0082868780530414,3,4,1
ba1,-0.04883174187317141,1.555159324539365e-4,0.001961333147351963,-0.05273251934199088,-0.05018910503896329,-0.04874009963297106,-0.04742772475860072,-0.04503055064780354,159.05706301070038,1.0066889883456793,-0.05,4,1
r0,2.952978463727786,0.02920288109625501,0.34866550455699624,2.3453444823006224,2.6953245897115394,2.928502992733882,3.2057814594010297,3.699217041005666,142.54978422920462,1.0215976498224424,3,4,2
ba1,-0.04952979721037222,1.6036267497011964e-4,0.0019248748224715581,-0.05310825874123055,-0.050966698937131766,-0.04954008816082528,-0.048152636522107044,-0.04578396649121318,144.07824172182077,1.0199798634140074,-0.05,4,2
r0,3.195498716368611,0.030680764799719915,0.36705914637330156,2.569448423824252,2.9188050606289675,3.189421272579965,3.431189687735209,4.028591012735302,143.13298809327696,1.01385502135851,3,4,3
ba1,-0.05118549952704202,1.4921227234398636e-4,0.0018639788888169966,-0.05511851789212108,-0.05243126344459257,-0.051230656101901834,-0.0498673771679659,-0.04765627876849955,156.0532759539059,1.014917919210141,-0.05,4,3
r0,3.314144743386472,0.030961059508102212,0.3510719108379973,2.705568315966405,3.0887698992258374,3.2738787530699884,3.5258683807601994,4.1309504933105545,128.57618568810466,1.0270924606968825,3,4,4
ba1,-0.05184341331946066,1.489090841431586e-4,0.0017338361058995058,-0.05557802904426832,-0.052903912322293634,-0.05171950456531351,-0.05070236934092974,-0.048615128160137085,135.57315413078197,1.0264143303022273,-0.05,4,4
r0,2.8008763711627473,0.029246076837318145,0.3162479282404235,2.25244127141803,2.583920448019087,2.773404227650138,2.975343475486482,3.5528558303372324,116.92843711549466,1.0156837883063785,3,4,5
ba1,-0.04868557583170065,1.5806786596180843e-4,0.0018153345808323113,-0.05265352397764603,-0.049783328895196474,-0.04857639988166013,-0.04754488063181833,-0.045126109864468106,131.8943468069991,1.014618171381456,-0.05,4,5
r0,2.751095186027743,0.02510969839199681,0.3084787744286031,2.2109907430596407,2.521192332538517,2.7189142820496572,2.954646692200539,3.362691999405085,150.92722299342088,1.040872457536468,3,5,1
