parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,true_value,Scenario,Batch,N_Sample
r0,1.8371832749947266,0.0860667902968294,0.709052224960439,0.7145807396768826,1.3213643613339827,1.7959835776826143,2.1633539084497055,3.561698801721486,67.87115411207526,1.0250185841690962,3,1,1,100
ba1,-0.012101996885593354,7.384860781945984e-4,0.006403697686646617,-0.025616185944354695,-0.015853811935143288,-0.012491629019340315,-0.007540548723792963,0.00237577220629137,75.19293156779413,1.0241600608223151,-0.025,1,1,100
r0,3.04647560667895,0.09166272578818994,0.9835005734934215,1.6153484767731199,2.354876593224308,2.8893679360543905,3.65078759269649,5.333468333195088,115.12342440618288,1.033831208408182,3,1,2,100
ba1,-0.02452477721881922,4.886043094029514e-4,0.00520505638067507,-0.034500046645935166,-0.028085435500055475,-0.024625875757075998,-0.020879087052630547,-0.01470493582971974,113.48443246961504,1.0407877407479245,-0.025,1,2,100
r0,1.8503498017569076,0.10852708900877908,0.7863907311780467,0.5699578827128189,1.2304422220092928,1.7986524717454517,2.360341961104119,3.494253754280765,52.504975919751686,1.0452935161683983,3,1,3,100
ba1,-0.014164172625953934,0.0011578049455914325,0.00784179100426878,-0.026805421824393078,-0.019753791418712745,-0.01548947165404615,-0.009380912922233555,0.00386796047675727,45.8732728673705,1.0551862008244288,-0.025,1,3,100
r0,1.5064003640644221,0.07359397513872881,0.6297680296392378,0.5538152759342267,1.0186839072953031,1.3985474721088105,1.8741532732868806,2.966058210892153,73.22791960427088,1.06265803115682,3,1,4,100
ba1,-0.01435477729970091,8.237639651447348e-4,0.0070673673210796895,-0.02735121913724077,-0.01875970268642304,-0.014462740760578553,-0.009137867641386889,7.182721826746659e-4,73.60541194974408,1.0526547929191423,-0.025,1,4,100
r0,2.5139792574009143,0.11889088629888542,1.0606637093591447,0.7439880247377586,1.7588841027784035,2.3886396562053145,3.0849644817672877,5.1476327894542715,79.5899606879977,1.0005268664812297,3,1,5,100
ba1,-0.019404051925427615,8.836801492783294e-4,0.007425609847340116,-0.032687753026325594,-0.02453192632153145,-0.020201724137498697,-0.0151894550692242,-0.001057092577789313,70.6112753375533,1.009911666123989,-0.025,1,5,100
r0,2.3109605554556922,0.08378773088530166,0.6233788019277693,1.3390502848235497,1.8736938258361844,2.2258099749976625,2.687062882501204,3.7260133472276475,55.35325976001555,1.0712829628808056,3,1,1,300
ba1,-0.01885206866783555,5.963563989657556e-4,0.0043043821806729,-0.02745053964975451,-0.021995786161579024,-0.018467393017968847,-0.01584392171997663,-0.010535420944328747,52.09666018017889,1.0712655174423722,-0.025,1,1,300
